,o,h,l,c,v,pot,pot_ask,pot_bid
2021-12-09 17:16:00+00:00,48612.27,48666.66,48610.0,48666.65,10.72669,376.0,179.0,197.0
2021-12-09 17:17:00+00:00,48666.66,48698.9,48663.96,48698.89,15.01342,431.0,233.0,198.0
2021-12-09 17:18:00+00:00,48698.9,48698.9,48600.72,48611.31,18.48362,539.0,262.0,277.0
2021-12-09 17:19:00+00:00,48611.31,48626.16,48606.86,48617.79,4.14046,295.0,141.0,154.0
2021-12-09 17:20:00+00:00,48617.78,48617.79,48584.38,48600.77,8.4233,351.0,158.0,193.0
2021-12-09 17:21:00+00:00,48600.78,48600.78,48553.36,48578.21,15.29689,439.0,166.0,273.0
2021-12-09 17:22:00+00:00,48578.21,48626.03,48570.39,48594.63,15.1639,570.0,319.0,251.0
2021-12-09 17:23:00+00:00,48594.64,48600.01,48571.01,48593.08,17.27131,500.0,234.0,266.0
2021-12-09 17:24:00+00:00,48593.08,48650.0,48585.99,48638.46,18.03648,522.0,282.0,240.0
2021-12-09 17:25:00+00:00,48636.57,48691.92,48621.0,48676.8,41.18835,822.0,480.0,342.0
2021-12-09 17:26:00+00:00,48676.8,48678.97,48581.01,48585.02,14.07153,449.0,199.0,250.0
2021-12-09 17:27:00+00:00,48585.02,48593.04,48540.0,48551.31,14.98182,490.0,182.0,308.0
2021-12-09 17:28:00+00:00,48550.73,48563.14,48540.3,48562.75,9.69964,448.0,200.0,248.0
2021-12-09 17:29:00+00:00,48559.55,48580.01,48559.54,48560.0,9.85318,362.0,157.0,205.0
2021-12-09 17:30:00+00:00,48560.0,48560.01,48461.42,48488.89,24.36224,760.0,304.0,456.0
2021-12-09 17:31:00+00:00,48492.38,48492.38,48473.67,48488.86,11.46918,474.0,252.0,222.0
2021-12-09 17:32:00+00:00,48488.87,48525.61,48486.49,48520.03,17.84398,556.0,315.0,241.0
2021-12-09 17:33:00+00:00,48520.03,48568.05,48508.62,48567.29,22.84265,606.0,344.0,262.0
2021-12-09 17:34:00+00:00,48567.29,48568.05,48515.11,48533.69,9.77684,329.0,153.0,176.0
2021-12-09 17:35:00+00:00,48533.69,48574.99,48520.19,48525.43,22.73426,536.0,219.0,317.0
2021-12-09 17:36:00+00:00,48529.7,48554.87,48519.05,48539.49,16.01484,437.0,256.0,181.0
2021-12-09 17:37:00+00:00,48539.49,48539.5,48491.12,48491.12,12.52299,399.0,179.0,220.0
2021-12-09 17:38:00+00:00,48491.13,48495.17,48426.25,48453.29,38.92443,792.0,430.0,362.0
2021-12-09 17:39:00+00:00,48451.97,48463.25,48411.24,48448.78,30.35585,678.0,254.0,424.0
2021-12-09 17:40:00+00:00,48448.77,48479.34,48435.57,48459.78,28.02667,564.0,300.0,264.0
2021-12-09 17:41:00+00:00,48459.77,48544.54,48458.19,48502.91,36.48446,649.0,342.0,307.0
2021-12-09 17:42:00+00:00,48502.91,48542.51,48476.53,48505.84,17.81188,620.0,295.0,325.0
2021-12-09 17:43:00+00:00,48505.84,48507.03,48440.16,48445.93,18.02415,547.0,242.0,305.0
2021-12-09 17:44:00+00:00,48445.93,48453.31,48400.0,48403.51,10.69841,575.0,244.0,331.0
2021-12-09 17:45:00+00:00,48403.48,48465.97,48403.47,48428.69,26.53248,555.0,296.0,259.0
2021-12-09 17:46:00+00:00,48428.69,48431.62,48413.61,48426.78,5.42267,368.0,214.0,154.0
2021-12-09 17:47:00+00:00,48426.78,48471.05,48424.06,48427.39,10.96142,457.0,266.0,191.0
2021-12-09 17:48:00+00:00,48427.39,48449.3,48427.09,48438.95,10.53923,433.0,202.0,231.0
2021-12-09 17:49:00+00:00,48438.95,48462.01,48437.62,48455.96,12.00467,489.0,225.0,264.0
2021-12-09 17:50:00+00:00,48455.97,48463.75,48416.51,48417.57,13.75201,579.0,254.0,325.0
2021-12-09 17:51:00+00:00,48417.57,48507.74,48404.16,48491.82,33.16287,883.0,451.0,432.0
2021-12-09 17:52:00+00:00,48491.83,48520.07,48426.76,48438.2,22.19856,802.0,391.0,411.0
2021-12-09 17:53:00+00:00,48438.21,48460.04,48427.7,48432.6,15.23131,559.0,336.0,223.0
2021-12-09 17:54:00+00:00,48432.6,48443.64,48360.0,48360.0,24.51334,819.0,369.0,450.0
2021-12-09 17:55:00+00:00,48360.0,48383.58,48350.07,48381.72,15.31994,656.0,313.0,343.0
2021-12-09 17:56:00+00:00,48381.72,48381.72,48300.9,48306.01,19.25495,808.0,348.0,460.0
2021-12-09 17:57:00+00:00,48306.01,48335.08,48272.57,48293.18,26.27427,1116.0,494.0,622.0
2021-12-09 17:58:00+00:00,48293.19,48306.0,48125.0,48127.99,44.72591,1402.0,543.0,859.0
2021-12-09 17:59:00+00:00,48127.99,48205.56,48127.99,48171.65,50.30446,1605.0,775.0,830.0
2021-12-09 18:00:00+00:00,48171.66,48265.31,48171.65,48265.31,39.33272,1075.0,601.0,474.0
2021-12-09 18:01:00+00:00,48261.6,48292.58,48230.0,48255.99,38.34556,827.0,468.0,359.0
2021-12-09 18:02:00+00:00,48255.99,48300.0,48233.92,48293.52,20.94682,732.0,435.0,297.0
2021-12-09 18:03:00+00:00,48293.39,48363.42,48277.0,48289.97,53.76145,843.0,488.0,355.0
2021-12-09 18:04:00+00:00,48289.97,48289.98,48142.08,48220.57,36.78634,789.0,304.0,485.0
2021-12-09 18:05:00+00:00,48220.58,48264.42,48162.65,48192.99,15.03328,527.0,232.0,295.0
2021-12-09 18:06:00+00:00,48192.98,48239.77,48181.94,48203.21,19.90815,539.0,221.0,318.0
2021-12-09 18:07:00+00:00,48203.21,48300.0,48203.21,48279.85,17.02044,579.0,277.0,302.0
2021-12-09 18:08:00+00:00,48279.84,48300.0,48269.8,48269.8,14.27011,447.0,176.0,271.0
2021-12-09 18:09:00+00:00,48269.8,48333.28,48269.8,48322.5,11.64713,519.0,263.0,256.0
2021-12-09 18:10:00+00:00,48322.5,48350.0,48276.3,48300.23,11.72683,443.0,191.0,252.0
2021-12-09 18:11:00+00:00,48300.23,48311.23,48270.0,48274.31,10.31554,479.0,209.0,270.0
2021-12-09 18:12:00+00:00,48274.32,48283.05,48236.68,48259.18,10.04726,432.0,178.0,254.0
2021-12-09 18:13:00+00:00,48259.18,48259.21,48200.0,48200.07,11.94605,431.0,175.0,256.0
2021-12-09 18:14:00+00:00,48200.06,48267.19,48200.0,48260.0,14.43437,506.0,242.0,264.0
2021-12-09 18:15:00+00:00,48259.99,48315.5,48205.09,48247.88,35.83551,790.0,374.0,416.0
2021-12-09 18:16:00+00:00,48247.88,48350.0,48240.88,48344.39,23.39579,690.0,343.0,347.0
2021-12-09 18:17:00+00:00,48344.38,48350.0,48302.04,48308.95,23.02273,441.0,212.0,229.0
2021-12-09 18:18:00+00:00,48308.96,48348.87,48277.53,48292.3,25.53056,618.0,271.0,347.0
2021-12-09 18:19:00+00:00,48289.17,48321.4,48262.22,48274.6,8.9135,453.0,173.0,280.0
2021-12-09 18:20:00+00:00,48274.6,48307.0,48254.05,48276.79,10.47728,467.0,219.0,248.0
2021-12-09 18:21:00+00:00,48276.78,48276.79,48160.0,48171.0,24.73562,771.0,267.0,504.0
2021-12-09 18:22:00+00:00,48170.99,48171.0,48118.05,48150.0,31.25459,1009.0,432.0,577.0
2021-12-09 18:23:00+00:00,48150.0,48157.0,48000.0,48121.66,159.62083,2936.0,1116.0,1820.0
2021-12-09 18:24:00+00:00,48121.67,48193.99,48055.41,48138.3,68.24915,1401.0,710.0,691.0
2021-12-09 18:25:00+00:00,48138.29,48180.71,48050.59,48066.13,72.45619,1242.0,601.0,641.0
2021-12-09 18:26:00+00:00,48066.13,48072.24,47885.0,47964.25,233.24593,3729.0,1546.0,2183.0
2021-12-09 18:27:00+00:00,47964.25,47985.96,47547.93,47806.38,360.72372,6658.0,3098.0,3560.0
2021-12-09 18:28:00+00:00,47813.81,47855.52,47678.0,47817.0,98.8646,2625.0,1602.0,1023.0
2021-12-09 18:29:00+00:00,47819.8,47985.3,47791.0,47884.73,195.81371,2181.0,1107.0,1074.0
2021-12-09 18:30:00+00:00,47884.72,47885.9,47796.84,47838.34,66.00139,1134.0,479.0,655.0
2021-12-09 18:31:00+00:00,47838.36,47863.02,47750.01,47755.01,29.56819,943.0,490.0,453.0
2021-12-09 18:32:00+00:00,47755.01,47859.02,47755.0,47810.04,37.83084,975.0,571.0,404.0
2021-12-09 18:33:00+00:00,47810.04,47826.99,47694.32,47694.32,53.21158,1246.0,580.0,666.0
2021-12-09 18:34:00+00:00,47694.32,47767.11,47556.35,47667.3,141.87722,2323.0,1079.0,1244.0
2021-12-09 18:35:00+00:00,47667.3,47683.45,47537.26,47565.69,85.86911,1689.0,689.0,1000.0
2021-12-09 18:36:00+00:00,47570.85,47645.25,47565.69,47634.75,55.75349,1220.0,701.0,519.0
2021-12-09 18:37:00+00:00,47634.75,47748.96,47610.47,47689.33,30.97011,1156.0,625.0,531.0
2021-12-09 18:38:00+00:00,47689.33,47757.9,47689.33,47734.28,40.10801,946.0,555.0,391.0
2021-12-09 18:39:00+00:00,47734.29,47843.07,47726.01,47771.78,70.14363,1364.0,821.0,543.0
2021-12-09 18:40:00+00:00,47771.78,47778.01,47668.05,47748.55,50.88067,860.0,429.0,431.0
2021-12-09 18:41:00+00:00,47748.55,47748.56,47680.0,47685.66,15.7938,582.0,312.0,270.0
2021-12-09 18:42:00+00:00,47685.65,47733.47,47650.55,47668.6,23.09799,664.0,336.0,328.0
2021-12-09 18:43:00+00:00,47668.6,47745.27,47657.22,47714.12,39.68717,793.0,393.0,400.0
2021-12-09 18:44:00+00:00,47714.13,47743.61,47683.0,47683.01,32.80538,914.0,501.0,413.0
2021-12-09 18:45:00+00:00,47683.0,47773.87,47660.38,47743.84,37.98497,985.0,538.0,447.0
2021-12-09 18:46:00+00:00,47743.84,47743.84,47672.62,47686.35,21.27299,697.0,317.0,380.0
2021-12-09 18:47:00+00:00,47686.35,47705.42,47570.49,47614.95,49.8062,1232.0,548.0,684.0
2021-12-09 18:48:00+00:00,47614.95,47614.96,47520.0,47566.72,65.29844,1661.0,729.0,932.0
2021-12-09 18:49:00+00:00,47566.73,47649.99,47546.92,47601.38,48.71767,1384.0,706.0,678.0
2021-12-09 18:50:00+00:00,47601.38,47608.99,47510.0,47516.78,60.74578,1463.0,717.0,746.0
2021-12-09 18:51:00+00:00,47516.78,47555.0,47510.0,47532.64,48.1163,1471.0,840.0,631.0
2021-12-09 18:52:00+00:00,47532.65,47553.75,47500.0,47542.98,64.63464,1525.0,652.0,873.0
2021-12-09 18:53:00+00:00,47542.98,47632.2,47530.01,47606.41,36.34047,1019.0,551.0,468.0
2021-12-09 18:54:00+00:00,47606.42,47686.85,47606.41,47631.04,54.49522,1234.0,685.0,549.0
2021-12-09 18:55:00+00:00,47631.04,47684.84,47609.39,47665.02,20.17286,726.0,427.0,299.0
2021-12-09 18:56:00+00:00,47665.01,47814.61,47665.01,47745.25,75.77455,1817.0,1081.0,736.0
2021-12-09 18:57:00+00:00,47745.25,47839.0,47701.21,47839.0,36.90415,944.0,488.0,456.0
2021-12-09 18:58:00+00:00,47838.99,47850.0,47770.45,47791.54,57.01794,891.0,424.0,467.0
2021-12-09 18:59:00+00:00,47793.94,47793.94,47714.98,47753.24,28.75472,680.0,352.0,328.0
2021-12-09 19:00:00+00:00,47751.87,47823.92,47715.01,47800.0,35.31876,838.0,425.0,413.0
2021-12-09 19:01:00+00:00,47800.0,47888.28,47799.99,47850.0,46.78706,856.0,517.0,339.0
2021-12-09 19:02:00+00:00,47850.01,47858.63,47810.0,47817.53,22.00075,648.0,354.0,294.0
2021-12-09 19:03:00+00:00,47817.52,47817.53,47780.0,47791.41,17.35652,530.0,276.0,254.0
2021-12-09 19:04:00+00:00,47791.4,47808.73,47744.04,47774.62,30.56867,720.0,365.0,355.0
2021-12-09 19:05:00+00:00,47774.62,47800.04,47763.11,47768.22,8.33402,495.0,216.0,279.0
2021-12-09 19:06:00+00:00,47763.11,47863.36,47760.0,47847.19,27.56449,655.0,402.0,253.0
2021-12-09 19:07:00+00:00,47847.19,47886.0,47835.56,47870.26,20.95855,628.0,363.0,265.0
2021-12-09 19:08:00+00:00,47870.27,47986.62,47850.11,47915.91,41.11089,1037.0,660.0,377.0
2021-12-09 19:09:00+00:00,47924.25,48018.63,47784.22,47847.52,130.32771,2269.0,1037.0,1232.0
2021-12-09 19:10:00+00:00,47847.52,47847.53,47653.14,47653.14,39.88889,1109.0,488.0,621.0
2021-12-09 19:11:00+00:00,47653.14,47705.7,47600.68,47657.2,50.0431,985.0,503.0,482.0
2021-12-09 19:12:00+00:00,47657.21,47710.55,47617.37,47693.22,40.13704,778.0,429.0,349.0
2021-12-09 19:13:00+00:00,47693.22,47700.21,47623.37,47640.28,25.65562,763.0,338.0,425.0
2021-12-09 19:14:00+00:00,47640.29,47654.75,47614.0,47648.23,15.05372,495.0,253.0,242.0
2021-12-09 19:15:00+00:00,47648.22,47649.98,47552.0,47636.79,46.39269,889.0,404.0,485.0
2021-12-09 19:16:00+00:00,47636.8,47690.16,47617.86,47665.44,18.22909,677.0,382.0,295.0
2021-12-09 19:17:00+00:00,47665.44,47742.49,47657.8,47716.93,35.21191,783.0,501.0,282.0
2021-12-09 19:18:00+00:00,47721.62,47800.0,47716.93,47791.11,29.216,713.0,405.0,308.0
2021-12-09 19:19:00+00:00,47791.11,47791.11,47712.68,47743.27,22.61945,561.0,283.0,278.0
2021-12-09 19:20:00+00:00,47743.26,47794.5,47735.75,47772.19,14.90552,559.0,306.0,253.0
2021-12-09 19:21:00+00:00,47772.19,47778.74,47710.4,47714.76,14.28422,603.0,259.0,344.0
2021-12-09 19:22:00+00:00,47714.75,47761.93,47678.97,47749.33,13.09988,528.0,281.0,247.0
2021-12-09 19:23:00+00:00,47747.63,47848.9,47718.42,47848.9,24.8379,717.0,405.0,312.0
2021-12-09 19:24:00+00:00,47848.9,47862.01,47785.89,47830.8,27.87156,667.0,317.0,350.0
2021-12-09 19:25:00+00:00,47830.8,47840.53,47776.0,47825.43,14.31423,530.0,262.0,268.0
2021-12-09 19:26:00+00:00,47825.43,47825.43,47767.53,47776.19,14.60979,431.0,179.0,252.0
2021-12-09 19:27:00+00:00,47776.2,47815.11,47767.03,47767.04,19.64111,494.0,298.0,196.0
2021-12-09 19:28:00+00:00,47767.03,47800.0,47765.5,47789.76,11.61942,439.0,208.0,231.0
2021-12-09 19:29:00+00:00,47789.79,47792.18,47764.01,47783.52,13.6047,468.0,246.0,222.0
2021-12-09 19:30:00+00:00,47783.53,47839.49,47783.53,47829.77,22.17437,554.0,292.0,262.0
2021-12-09 19:31:00+00:00,47829.83,47850.0,47760.0,47760.0,19.54458,549.0,252.0,297.0
2021-12-09 19:32:00+00:00,47760.0,47785.79,47721.72,47744.79,19.80299,533.0,245.0,288.0
2021-12-09 19:33:00+00:00,47744.79,47802.56,47725.64,47790.79,13.24541,442.0,247.0,195.0
2021-12-09 19:34:00+00:00,47790.81,47873.08,47779.0,47828.95,29.12617,709.0,422.0,287.0
2021-12-09 19:35:00+00:00,47832.71,47843.36,47800.01,47811.15,16.61361,496.0,218.0,278.0
2021-12-09 19:36:00+00:00,47811.16,47850.06,47810.82,47830.0,13.34088,499.0,298.0,201.0
2021-12-09 19:37:00+00:00,47830.0,47930.0,47827.02,47918.01,30.75514,884.0,479.0,405.0
2021-12-09 19:38:00+00:00,47918.0,47924.01,47866.76,47883.74,13.76087,579.0,340.0,239.0
2021-12-09 19:39:00+00:00,47883.73,47919.99,47880.02,47900.0,23.37856,560.0,313.0,247.0
2021-12-09 19:40:00+00:00,47900.0,47937.79,47899.99,47924.16,19.53532,510.0,236.0,274.0
2021-12-09 19:41:00+00:00,47924.16,47963.15,47914.92,47918.28,51.2301,746.0,351.0,395.0
2021-12-09 19:42:00+00:00,47918.28,47918.28,47805.94,47812.99,35.80958,805.0,286.0,519.0
2021-12-09 19:43:00+00:00,47813.0,47818.39,47756.0,47768.16,17.55094,674.0,280.0,394.0
2021-12-09 19:44:00+00:00,47765.0,47858.74,47724.86,47771.51,65.8107,1026.0,501.0,525.0
2021-12-09 19:45:00+00:00,47774.88,47796.87,47720.83,47734.38,29.40851,669.0,371.0,298.0
2021-12-09 19:46:00+00:00,47734.38,47788.5,47707.38,47754.63,33.63215,718.0,305.0,413.0
2021-12-09 19:47:00+00:00,47754.64,47785.35,47721.72,47737.29,22.81776,528.0,262.0,266.0
2021-12-09 19:48:00+00:00,47737.28,47768.52,47730.22,47741.69,17.26888,468.0,214.0,254.0
2021-12-09 19:49:00+00:00,47741.7,47832.3,47731.58,47832.12,21.46646,551.0,350.0,201.0
2021-12-09 19:50:00+00:00,47832.12,47861.42,47805.37,47825.35,30.15849,492.0,241.0,251.0
2021-12-09 19:51:00+00:00,47825.34,47864.41,47822.25,47839.91,16.78082,458.0,224.0,234.0
2021-12-09 19:52:00+00:00,47839.91,47866.21,47761.09,47791.86,32.88954,624.0,224.0,400.0
2021-12-09 19:53:00+00:00,47791.85,47794.99,47750.79,47774.88,13.56606,422.0,231.0,191.0
2021-12-09 19:54:00+00:00,47774.87,47774.88,47730.0,47739.92,16.26292,447.0,175.0,272.0
2021-12-09 19:55:00+00:00,47739.92,47750.0,47700.0,47700.0,7.83787,419.0,158.0,261.0
2021-12-09 19:56:00+00:00,47700.01,47704.92,47650.0,47664.08,30.64117,623.0,247.0,376.0
2021-12-09 19:57:00+00:00,47664.08,47707.13,47628.11,47700.0,29.99506,612.0,312.0,300.0
2021-12-09 19:58:00+00:00,47700.01,47723.9,47684.7,47684.71,13.30957,442.0,200.0,242.0
2021-12-09 19:59:00+00:00,47684.71,47687.43,47610.0,47613.53,19.37786,669.0,325.0,344.0
2021-12-09 20:00:00+00:00,47615.89,47639.99,47556.54,47622.66,32.48367,845.0,461.0,384.0
2021-12-09 20:01:00+00:00,47622.67,47711.0,47615.53,47701.42,25.2616,782.0,446.0,336.0
2021-12-09 20:02:00+00:00,47701.42,47702.0,47658.49,47662.57,16.97593,621.0,307.0,314.0
2021-12-09 20:03:00+00:00,47662.56,47699.21,47574.14,47600.0,27.45793,741.0,347.0,394.0
2021-12-09 20:04:00+00:00,47600.0,47618.93,47560.24,47560.24,26.17596,795.0,388.0,407.0
2021-12-09 20:05:00+00:00,47560.24,47593.44,47525.34,47546.41,54.96504,1022.0,459.0,563.0
2021-12-09 20:06:00+00:00,47550.05,47610.39,47520.22,47549.62,23.15354,696.0,320.0,376.0
2021-12-09 20:07:00+00:00,47549.61,47557.78,47500.22,47500.32,24.56703,743.0,337.0,406.0
2021-12-09 20:08:00+00:00,47500.32,47561.32,47464.0,47531.68,148.56746,1648.0,746.0,902.0
2021-12-09 20:09:00+00:00,47531.68,47531.69,47422.98,47474.84,46.3633,1192.0,554.0,638.0
2021-12-09 20:10:00+00:00,47474.83,47540.35,47466.13,47523.78,39.09088,900.0,495.0,405.0
2021-12-09 20:11:00+00:00,47523.79,47527.95,47422.98,47424.23,31.63602,844.0,446.0,398.0
2021-12-09 20:12:00+00:00,47424.24,47428.18,47373.34,47383.05,86.47801,1708.0,685.0,1023.0
2021-12-09 20:13:00+00:00,47383.05,47455.21,47359.61,47369.22,38.52295,1167.0,590.0,577.0
2021-12-09 20:14:00+00:00,47368.63,47426.97,47366.47,47398.99,23.3264,732.0,355.0,377.0
2021-12-09 20:15:00+00:00,47396.77,47515.6,47387.56,47484.0,33.34442,988.0,609.0,379.0
2021-12-09 20:16:00+00:00,47484.02,47640.0,47463.01,47610.0,63.41772,1313.0,779.0,534.0
